序號,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,週票數變動率,銷售金額,累計銷售票數,累計銷售金額,Week
74,美國,魔鬼終結者：黑暗宿命,2019/11/7,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",3,472,0.00%,"50,140","374,213","87,665,469",20200113
7,美國,絕地戰警FOR LIFE,2020/1/16,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,101,"182,000",0.65%,"43,755,249","362,821","86,534,259",20200120
44,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",2,46,-84.72%,"12,275","324,331","82,150,239",20200203
39,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,301,-87.51%,"80,396","324,285","82,137,964",20200127
40,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",57,"2,409",-69.62%,"588,419","323,984","82,057,568",20200120
42,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",91,"7,930",-50.31%,"1,988,292","321,575","81,469,149",20200113
39,美國,STAR WARS : 天行者的崛起,2019/12/18,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",98,"15,959",-68.32%,"4,071,591","313,645","79,480,857",20200106
59,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",4,62,-82.08%,"15,425","314,157","77,347,893",20200203
50,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",7,346,-48.13%,"86,700","314,095","77,332,468",20200127
53,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",19,667,-67.93%,"168,430","313,749","77,245,768",20200120
62,美國,賽道狂人,2019/11/26,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",34,"2,080",-49.73%,"562,598","313,082","77,077,338",20200113
